select,M,プログラムデータを一時的に保存するために使用され、コンピュータの電源を落とした時にデータが消去されるのは、次のうちどれですか。,CPU,SSD,ハードディスク,システムメモリー,,,システムメモリー,,,
select,M,OSやアプリケーションのセキュリティの強化を可能にするパッチの適用のうち、ベンダー管理による更新を可能にし、ユーザーの負担が最も少ない方法は、次のうちどれですか。,定期的なアップグレード,頻繁なパッチあて,自動アップデート,デイリーでスケジュールされたパッチ,,,自動アップデート,,,
select,M,ケーブルロックを使用することで軽減することができるセキュリティ上の脅威は、次のうちどれですか。,ショルダーサーフィン,フィッシング,ハードウェアの盗難,ダンプスターダイビング（ゴミ箱あさり）,,,ハードウェアの盗難,,,
select,M,パスワードを複雑にすることが必要とされる理由は、次のうちどれですか。,パスワードをクラックするのがより難しくなるため,ユーザーがパスワードを忘れないよう、書き留めることを促すため,ユーザーのタイピングスキルを向上させるため,ユーザーが別のアカウントで同じパスワードを使用しないようにするため,,,パスワードをクラックするのがより難しくなるため,,,
select,M,ユーザーは、リンクを含むメールを受信しました。リンクにカーソルを置くと、実際のURLは、メールに記載されているテキストと一致せず、ランダムな文字列として表示されています。最適な処置は、次のうちどれですか。,知人にメールを転送し、アドバイスをもらう,送信者に返信し、リンクへの接続が安全かどうか尋ねる,リンクをクリックせず、メールを削除する,マルウェア対策ソフトがインストールされているのでリンクをクリックしてみる,,,リンクをクリックせず、メールを削除する,,,
select,M,コンピュータオペレーションにおいて、一時的なストレージとして動作するコンポーネントは、次のうちどれですか。,システムボード,CPU (Central processing unit),RAM (Random access memory),拡張カード,,,RAM (Random access memory),,,
select,M,拡張子に .rtf がつくファイルの種類は、次のうちどれですか。,文書,実行ファイル,音声,表計算,,,文書,,,
select,M,ノートPCやPC（ワークステーション）の物理的な盗難を防ぐ方法として一般的なのは、次のうちどれですか。,いかなる機密情報は処分する前に、細断する,パスワードをコンピュータの近くに置かない,パスワード/暗証番号を入力するときの認識力を養う,ケーブルと鍵は、固定された物にしっかりと取り付ける,,,ケーブルと鍵は、固定された物にしっかりと取り付ける,,,
select,M,新しいソフトウェアアプリケーションをインストールした後、ユーザーは、そのアプリケーションが試用版として起動することに気が付きました。アプリケーションをアクティベーションするために実行する必要があるのは、次のうちどれですか。,プロダクトまたはライセンスキーを入力する,ベンダーサポートに連絡する,ソフトウェアアプリケーションを再インストールする,ソフトウェアインストールを完了させる,,,プロダクトまたはライセンスキーを入力する,,,
select,M,あるユーザーのノートPCのハードディスクには、機密情報が含まれており、そのPCを会社のネットワークに時々接続します。その際、ユーザーの機密情報ファイルが、別のPCから閲覧されていることに気が付きました。この状況を防止するための方法は、次のうちどれですか。,ノートPC上で、ファイルとプリンターの共有を無効にする,ネットワークから使っていないドライブを削除する,キーリングから共有キーを削除する,ファイル上のリードオンリー属性を設定する,,,ノートPC上で、ファイルとプリンターの共有を無効にする,,,
